Code;Hue;Saturation;Value
h437;0.55333334;0.2183406;0.8980392
h438;0.53787875;0.1042654;0.827451
h439;0.47435895;0.0631068;0.80784315
s431;0.5816326;0.34265736;0.56078434
s430;0.60144925;0.1299435;0.69411767
s426;0.9166667;0.08219178;0.57254905
s425;0.9367816;0.232;0.49019608
s428;0.6111111;0.0794702;0.5921569
s427;0.77272725;0.06395349;0.6745098
s422;0.003086418;0.34615386;0.6117647
s421;0.9979675;0.49101797;0.654902
s424;0.93421054;0.23602484;0.6313726
s423;0.984127;0.37724552;0.654902
h430;0.59722227;0.103896104;0.90588236
h431;0.5628415;0.29326922;0.8156863
h432;0.5833333;0.1559633;0.85490197
h433;0.5904762;0.16203703;0.84705883
h434;0.5897436;0.11353712;0.8980392
s429;0.57738096;0.224;0.49019608
h435;0.56666666;0.15837105;0.8666667
h436;0.5482456;0.17840375;0.8352941
h426;0.8666667;0.048543688;0.80784315
h427;0.76666665;0.049261082;0.79607844
h428;0.6388889;0.06030151;0.78039217
h429;0.5614035;0.09313726;0.8
s420;0.020325204;0.29078013;0.5529412
s415;0.022012582;0.43089432;0.48235294
s414;0.011904766;0.4347826;0.6313726
s417;0.027027031;0.27407408;0.5294118
s416;0.033854168;0.43537414;0.5764706
s411;0.03219697;0.45833334;0.7529412
s410;0.04008439;0.48466256;0.6392157
s413;0.025490195;0.5029586;0.6627451
s412;0.020833334;0.44444445;0.7058824
h420;0.021505376;0.13839285;0.8784314
h421;0.9814815;0.15254237;0.9254902
h422;0.020000001;0.20491803;0.95686275
s419;0.0;0.38064516;0.60784316
h423;0.974359;0.16525424;0.9254902
s418;0.014084508;0.47651008;0.58431375
h424;0.94715446;0.19069767;0.84313726
h425;0.8913044;0.11004785;0.81960785
h459;0.09756098;0.18468468;0.87058824
s451;0.14285715;0.32026145;0.6
s450;0.15555556;0.33088234;0.53333336
s453;0.12051282;0.4113924;0.61960787
s452;0.12962963;0.38181818;0.64705884
s448;0.21296294;0.13846155;0.50980395
s447;0.21875;0.13114753;0.47843137
s449;0.19565217;0.18699187;0.48235294
s444;0.35185185;0.07317073;0.48235294
s443;0.45614037;0.2345679;0.63529414
s446;0.1851852;0.115384616;0.6117647
h450;0.13541667;0.14814815;0.84705883
s445;0.37777779;0.10489511;0.56078434
h451;0.15196078;0.1588785;0.8392157
h452;0.13953488;0.20772947;0.8117647
h453;0.118181825;0.2763819;0.78039217
h454;0.115819216;0.26696834;0.8666667
h455;0.14;0.11210762;0.8745098
h456;0.10555556;0.25641027;0.91764706
h457;0.11261261;0.17961165;0.80784315
h458;0.10294118;0.16267942;0.81960785
h448;0.1851852;0.08294931;0.8509804
h449;0.1781609;0.12446352;0.9137255
s440;0.48333335;0.20979021;0.56078434
s442;0.44444445;0.15686275;0.6
s441;0.5069444;0.20689656;0.45490196
s437;0.54597706;0.35582823;0.6392157
s436;0.5507247;0.2875;0.627451
s439;0.5128205;0.08609272;0.5921569
s438;0.54761904;0.2413793;0.5686275
s433;0.57344633;0.33908045;0.68235296
s432;0.57142854;0.26751593;0.6156863
s435;0.5674603;0.26923078;0.6117647
s434;0.57478637;0.4968153;0.6156863
h440;0.48765433;0.13846155;0.7647059
h441;0.4848485;0.10280374;0.8392157
h442;0.42592594;0.083333336;0.84705883
h443;0.4;0.11627907;0.84313726
h444;0.2948718;0.073033705;0.69803923
h445;0.23958333;0.078431375;0.8
h446;0.1888889;0.070754714;0.83137256
h447;0.21428573;0.06392694;0.85882354
