Code;Red;Green;Blue
f300;246;243;230
f301;247;244;227
f302;251;242;217
f303;249;240;216
f304;249;240;216
f305;244;235;214
f306;248;235;209
f307;251;241;222
f308;250;232;209
f309;247;240;228
f310;244;236;222
f311;250;229;202
f312;250;233;218
f313;244;236;223
f314;251;230;208
f315;250;232;214
f316;249;238;234
f317;246;232;221
f318;246;230;224
f319;250;235;227
f320;244;227;221
f321;247;228;222
f322;247;219;219
f323;248;226;225
f324;249;211;215
f325;244;229;226
f326;247;222;219
f327;250;220;224
f328;243;212;218
f329;251;234;231
f330;245;210;216
f331;249;224;228
f332;245;220;224
f333;244;229;226
f334;244;229;226
f335;246;231;230
f336;247;229;228
f337;246;231;230
f338;242;219;227
f339;243;227;236
f340;244;233;237
f341;224;208;227
f342;239;224;234
f343;235;233;238
f344;230;225;229
f345;230;226;230
f346;229;227;237
f347;232;233;238
f348;228;229;235
f349;219;223;234
f350;226;230;236
f351;221;231;238
f352;227;231;236
f353;221;230;236
f354;216;230;238
f355;211;229;238
f356;208;222;235
f357;220;229;230
f358;232;239;237
f359;227;236;235
f360;220;235;235
f361;214;233;235
f362;218;231;232
f363;209;233;237
f364;218;234;235
f365;227;235;235
f366;216;232;234
f367;214;233;235
f368;227;231;225
f369;228;239;234
f370;232;238;230
f371;229;238;237
f372;231;241;232
f373;234;242;232
f374;234;236;228
f375;225;239;218
f376;232;234;224
f377;232;236;227
f378;236;239;230
f379;227;231;221
f380;215;235;197
f381;234;241;224
f382;240;242;220
f383;241;245;227
f384;235;240;229
f385;241;240;222
f386;241;240;230
f387;236;241;207
f388;247;244;223
f389;242;236;213
f390;243;242;228
f391;243;237;206
f392;246;231;198
f393;245;233;200
f394;240;234;217
f395;248;241;226
f396;244;236;220
f397;243;236;220
f398;245;232;214
f399;248;240;229
f400;252;236;217
f401;251;224;198
f402;251;227;203
f403;251;227;203
f404;246;228;209
f405;250;233;214
f406;252;227;212
f407;245;224;210
f408;240;225;217
f409;244;222;206
f410;247;230;223
f411;248;221;212
f412;239;212;205
f413;244;227;221
f414;241;224;216
f415;239;222;218
f416;244;227;221
f417;244;229;226
f418;241;224;222
f419;242;230;229
f420;238;231;230
f421;244;233;237
f422;244;228;222
f423;246;229;229
f424;233;209;217
f425;244;233;237
f426;236;231;230
f427;224;221;226
f428;219;220;221
f429;225;231;231
f430;228;232;238
f431;215;230;238
f432;223;231;238
f433;216;225;237
f434;228;232;238
f435;230;234;233
f436;218;229;230
f437;227;236;234
f438;214;223;225
f439;227;233;228
f440;224;230;225
f441;233;240;236
f442;228;233;224
f443;239;243;238
f444;225;228;221
f445;229;233;226
f446;241;240;236
f447;238;238;229
f448;241;241;234
f449;247;244;231
f450;234;235;224
f451;234;233;221
f452;231;232;212
f453;235;231;216
f454;243;235;216
f455;238;236;224
f456;244;237;228
f457;237;232;222
f458;241;233;221
f459;238;229;214
f460;240;235;227
f461;245;235;221
f462;244;235;222
